ws,ti,wd,dt_opt,t_opt,maxfun,use_time_shifted,pywake_power,optimization_time,success,total_power,power_ratio,yaw_rmse,yaw_max_diff,yaw_0,yaw_1,yaw_2,pywake_yaw_0,pywake_yaw_1,pywake_yaw_2
8,0.06,270.5,5,300,500,False,1132685.1804914656,4.928218841552734,True,57823251.854975134,1.0209942330116115,4.1974489157356505,6.728763543069363,19.278428506440832,10.614986456930637,0.03804216989720999,22.03125,17.34375,0.0
8,0.06,270.5,5,300,50,True,1132685.1804914656,5.188672304153442,True,57560413.265576266,1.016353250787675,3.548145051576393,6.122195720672607,22.364740390330553,11.221554279327393,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,100,False,1132685.1804914656,6.094658374786377,True,57547715.45591238,1.0161290435695955,3.8888722216404807,6.728763543069363,22.280949354171753,10.614986456930637,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,300,50,False,1132685.1804914656,6.555322647094727,True,57546036.67149992,1.0160994010097497,3.8888722216404807,6.728763543069363,22.280949354171753,10.614986456930637,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,600,50,False,1132685.1804914656,6.64808464050293,True,57940174.398937285,1.0230587527206345,3.656007922627914,5.85734099149704,19.63138220831752,11.48640900850296,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,600,50,True,1132685.1804914656,2.9835002422332764,True,57560413.265576266,1.016353250787675,3.548145051576393,6.122195720672607,22.364740390330553,11.221554279327393,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,100,True,1132685.1804914656,8.873527765274048,True,57637493.62550408,1.0177142708002147,3.19681886043772,5.511100888252258,22.364740390330553,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,250,True,1132685.1804914656,10.380386114120483,True,57922508.121436134,1.0227468164861817,3.69784908611378,5.511100888252258,18.794812614214607,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,250,False,1132685.1804914656,11.688591480255127,True,57748265.847731054,1.0196701933131043,4.410148724713517,6.728763543069363,18.420072405224346,10.614986456930637,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,300,1000,True,1132685.1804914656,12.689708232879639,True,57970519.854285374,1.0235945671882507,3.367509542155569,5.511100888252258,20.167751969247547,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,600,100,True,1132685.1804914656,7.309126377105713,True,57637493.62550408,1.0177142708002147,3.19681886043772,5.511100888252258,22.364740390330553,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,500,True,1132685.1804914656,15.710005521774292,True,57970519.854285374,1.0235945671882507,3.367509542155569,5.511100888252258,20.167751969247547,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,600,100,False,1132685.1804914656,9.958269119262695,True,57940174.398937285,1.0230587527206345,3.656007922627914,5.85734099149704,19.63138220831752,11.48640900850296,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,1000,50,False,1132685.1804914656,5.005348443984985,True,57940174.398937285,1.0230587527206345,3.656007922627914,5.85734099149704,19.63138220831752,11.48640900850296,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,1000,50,True,1132685.1804914656,3.4479830265045166,True,57560413.265576266,1.016353250787675,3.548145051576393,6.122195720672607,22.364740390330553,11.221554279327393,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,300,1000,False,1132685.1804914656,19.13327670097351,True,57751808.389963016,1.0197327445372744,4.562301980408339,7.407045612065701,19.278428506440832,9.936704387934299,0.03804216989720999,22.03125,17.34375,0.0
8,0.06,270.5,5,600,250,False,1132685.1804914656,15.25021505355835,True,57940306.809041336,1.0230610907066229,3.656007922627914,5.85734099149704,19.63138220831752,11.48640900850296,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,600,250,True,1132685.1804914656,16.99142551422119,True,57922508.121436134,1.0227468164861817,3.69784908611378,5.511100888252258,18.794812614214607,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,600,500,False,1132685.1804914656,20.743990898132324,True,57947948.87014995,1.0231960277789927,3.654643444301006,5.85734099149704,19.63138220831752,11.48640900850296,0.03804216989720999,22.03125,17.34375,0.0
8,0.06,270.5,5,1000,100,False,1132685.1804914656,14.513903856277466,True,58021043.23830064,1.0244866665091465,3.2443797154915077,5.0781158823519945,19.63138220831752,12.265634117648005,0.17712391912937164,22.03125,17.34375,0.0
8,0.06,270.5,5,600,1000,False,1132685.1804914656,20.559669971466064,True,57990724.75412209,1.023951328275704,3.3459436226292505,5.45799009314738,20.083196326752102,11.88575990685262,0.03804216989720999,22.03125,17.34375,0.0
8,0.06,270.5,5,1000,100,True,1132685.1804914656,14.4576096534729,True,57637493.62550408,1.0177142708002147,3.19681886043772,5.511100888252258,22.364740390330553,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,5,600,500,True,1132685.1804914656,25.354005575180054,True,57970519.854285374,1.0235945671882507,3.367509542155569,5.511100888252258,20.167751969247547,11.832649111747742,0.4189315438270569,22.03125,17.34375,0.0
8,0.06,270.5,10,300,50,True,1132685.1804914656,3.5878310203552246,True,57246456.56080413,1.0108096679779146,5.871700424059589,10.158382952213287,22.280949354171753,7.185367047786713,0.4189315438270569,22.03125,17.34375,0.0
